Название;Объём памяти GB;Стоимость
Смартфон Apple iPhone 12 mini 64GB / 2QMGDY3 восстановленный Breezy Грейд A+(Q) (белый);64GB;1899.00
Смартфон Apple iPhone 12 mini 256GB / 2AMGE93 восстановленный Breezy Грейд А (черный);256GB;2199.00
Смартфон Apple iPhone 12 mini 256GB / 2BMGEC3 восстановленный Breezy Грейд B (красный);256GB;1999.00
Смартфон Apple iPhone 12 mini 128GB / 2BMGE53 восстановленный Breezy Грейд B (красный);128GB;1899.00
Смартфон Apple iPhone 12 Mini 64GB A2399/2BMGE13 восстановленный Breezy Грейд B (синий);64GB;1699.00
Смартфон Apple iPhone 12 mini 64GB / 2QMJQF3 восстановленный Breezy Грейд A+(Q) (фиолетовый);64GB;1899.00
Смартфон Apple iPhone 12 mini 64GB / 2QMGE03 восстановленный Breezy Грейд A+(Q) (красный);64GB;1899.00
Смартфон Apple iPhone 12 mini 128GB / 2AMJQG3 восстановленный Breezy Грейд A (фиолетовый);128GB;2049.00
Смартфон Apple iPhone 12 mini 64GB / 2BMGDX3 восстановленный Breezy Грейд B (черный);64GB;1799.00
Смартфон Apple iPhone 12 Mini 64GB A2399/2QMGE23 восстанов. Breezy Грейд A+(Q) (зеленый);64GB;1899.00
Смартфон Apple iPhone 12 Mini 64GB A2399 / 2BMGE03 восстановлен Breezy Грейд B (красный);64GB;1799.00
Смартфон Apple iPhone 12 mini 256GB/2QMGEE3 восстановленный Breezy Грейд A+(Q) (зеленый);256GB;2299.00
